@relation CardPriceDataset

@attribute ccs_average_price numeric
@attribute shift numeric
@attribute shift_3 numeric
@attribute shift_7 numeric
@attribute shift_21 numeric
@attribute shift_30 numeric
@attribute shift_90 numeric
@attribute shift_180 numeric
@attribute shift_365 numeric
@attribute ccsb_average_price numeric

@data
8.67,-0.51,-0.51,-0.51,-0.51,-0.51,-0.49,-0.09,-0.16,9.53
0.69,0,0,-0.07,-0.07,-0.07,0.08,0.21,0.23,0.69
0.49,-0.74,0,0,-0.77,-0.04,0.04,-0.83,-0.63,0.56
2.36,0,0,0.05,0.02,0.04,0,0,0,2.23
2.36,0,0,0.05,0.02,0.04,0,0,0,2.23
2.36,0,0,0.05,0.02,0.04,0,0,0,2.23
2.36,0,0,0.05,0.02,0.04,0,0,0,2.23
2.36,0,0,0.05,0.02,0.04,0,0,0,2.23
2.36,0,0,0.05,0.02,0.04,0,0,0,2.23
2.36,0,0,0.05,0.02,0.04,0,0,0,2.23
0.49,-0.76,0,-0.78,-0.79,0,-0.73,-0.74,-0.65,0.49
4.82,0.47,0.47,0.47,0.31,0.24,0.15,-0.15,3.46,3.29
1.25,1.55,1.55,-0.06,1.55,0.07,4,4,-0.76,0.49
1.63,4.82,4.82,4.82,4.82,4.82,4.82,-0.12,0.92,0.42
1.29,4.16,4.16,4.16,4.16,0,4.16,0,0,0.25
1.37,2.26,2.26,2.26,3.89,0.02,-0.01,1.8,0.06,0.42
1.4,1.92,1.92,1.92,0.02,1.92,3.12,0.37,2.59,0.47
1.88,2.84,4.37,4.37,-0.06,4.37,5.27,0.92,4.37,0.49
1.66,-0.01,2.95,2.95,0.01,2.39,2.39,3.26,0.11,0.42
2.74,-0.01,-0.02,0.31,0.32,0.31,0.36,-0.14,-0.48,2.76
0.64,0,0,-0.71,0.83,-0.07,-0.28,0.31,-0.82,0.59
1.61,5.44,5.44,-0.05,-0.09,5.44,5.44,1.73,0.4,0.25
1.5,0.01,2.85,2.85,2.06,2.06,1.14,0.5,0.2,0.39
1.11,0.04,3.44,3.44,3.44,3.44,-0.06,0.09,-0.05,0.25
1.49,0,-0.26,0,0.07,0.07,0.07,0,0,1.49
1.49,0,-0.26,0,0.07,0.07,0.07,0,0,1.49
1.49,0,-0.26,0,0.07,0.07,0.07,0,0,1.49
1.49,0,-0.26,0,0.07,0.07,0.07,0,0,1.49
1.49,0,-0.26,0,0.07,0.07,0.07,0,0,1.49
1.49,0,-0.26,0,0.07,0.07,0.07,0,0,1.49
1.49,0,-0.26,0,0.07,0.07,0.07,0,0,1.49
3.56,0.25,0.25,0.25,0.27,0.27,0.08,0.12,-0.15,3.7
2.79,0.25,0.24,-0.01,0.18,0.18,-0.06,-0.09,-0.24,0.49
0.79,0,0,0,0,0,-0.49,-0.66,-0.53,0.79
0.25,0,0,-0.83,0,0,-0.32,-0.77,-0.87,0.25
0.32,-0.76,0,0,-0.75,-0.38,-0.38,-0.36,-0.74,1.34
0.25,0,-0.8,0,-0.8,0,-0.32,-0.8,-0.85,0.25
0.35,0,-0.69,0,-0.71,-0.29,-0.76,-0.29,-0.8,0.35
9.98,0.02,0,0.04,-0.1,-0.1,0,0.25,0.11,9.99
0.49,-0.79,0,-0.79,0,-0.82,0.75,-0.08,-0.69,2.35
0.49,-0.73,0,-0.73,0.17,0.17,0.14,-0.8,-0.63,1.58
2.02,0,0,4.77,4.77,4.77,4.77,4.77,0.21,0.35
29.7,10.47,0,-0.01,8.31,0.11,4.31,-0.21,-0.26,2.59
2.12,0,-0.46,-0.58,-0.13,-0.5,-0.75,0.55,0.5,2.25
1.17,2.55,2.55,2.55,-0.4,2.55,-0.43,2.16,-0.08,0.33
1.28,2.05,2.05,2.05,0.01,2.05,0.08,2.66,-0.16,0.42
1.28,2.05,2.05,2.05,0.01,2.05,0.08,2.66,-0.16,0.42
2.13,0.79,0.79,2.61,1.88,2.61,3.35,1.88,1.7,0.84
0.42,-0.73,0,-0.73,0,-0.75,-0.74,-0.69,-0.68,0.42
15.99,0.43,0,0,7.93,7.93,1.99,1.15,-0.64,10.72
15.99,0.43,0,0,7.93,7.93,1.99,1.15,-0.64,10.72
0.49,-0.58,0,-0.58,0,0,0,0.11,-0.35,0.49
1.34,3.79,-0.11,-0.38,3.79,-0.42,2.62,-0.53,0.13,0.28
1.29,3.96,3.96,3.96,3.96,3.96,3.96,0.28,3.96,0.26
0.25,0,0,0,0,0,-0.4,-0.88,-0.85,0.25
1.26,0,2.6,2.6,2.6,-0.04,2.6,2.6,2.6,0.35
0.47,0,0,0,0.27,-0.04,-0.53,-0.53,-0.41,0.47
0.32,0,0,0,0,-0.74,-0.35,-0.77,-0.84,1.24
2.29,-0.42,0,0,-0.4,0,0,-0.35,-0.44,4.39
3.56,0,0.29,0.29,0.34,0.3,0,0,0,3.94
6.38,0.06,0,0.16,0.02,0.05,-0.02,0.11,0.1,4.59
3.24,2.64,2.64,0.17,-0.05,1.17,-0.04,1.51,0.14,0.89
0.59,0,0,0,-0.08,-0.63,-0.08,-0.13,-0.17,0.78
0.75,0,0,0,0,0,-0.25,0.23,-0.68,0.48
0.52,-0.75,0.49,0.49,-0.74,0,0,-0.29,-0.29,0.52
1.29,3.16,0,-0.1,3.16,-0.29,1.74,1.74,-0.28,0.47
1.57,2.08,2.57,2.57,2.08,0.07,1.66,1.91,-0.05,0.53
1.14,-0.74,-0.74,-0.77,-0.77,0.43,-0.75,-0.3,-0.54,3.5
1.73,1.7,1.51,1.51,1.51,0.01,1.31,-0.02,-0.01,0.54
0.69,-0.54,0.17,-0.55,-0.55,0.17,-0.56,-0.56,-0.65,1.61
6.69,0,-0.24,0,-0.41,0,0,-0.5,-0.57,6.69
2.61,0.75,0.75,0.75,0.75,0.75,0.07,0.2,-0.34,1.49
0.42,0,0,-0.05,0,0.14,0.2,0.24,-0.85,0.42
0.99,0,0,0,0.05,-0.09,0.11,-0.35,-0.73,0.74
0.25,0,0,0,0,0,0,-0.78,0,0.25
1.5,4.36,-0.01,4.36,4.36,-0.39,-0.34,3.29,0.22,0.29
1.15,1.19,1.19,1.19,-0.14,1.43,1.71,1.71,0.05,0.47
0.69,-0.74,-0.74,0.28,-0.75,-0.75,0.77,-0.6,-0.79,0.57
0.31,0,0,0,0,-0.16,0,-0.21,-0.76,0.31
1.09,2.3,-0.22,2.3,2.3,2.3,2.3,2.3,2.3,0.83
1.09,2.3,-0.22,2.3,2.3,2.3,2.3,2.3,2.3,0.83
0.49,0,-0.6,0,0,-0.52,-0.35,-0.35,-0.62,0.49
0.49,0,-0.6,0,0,-0.52,-0.35,-0.35,-0.62,0.49
0.3,0,0,0,-0.03,-0.17,-0.23,-0.09,-0.76,0.3
0.95,-0.06,-0.07,-0.1,2.17,-0.44,1.64,1.64,-0.26,0.3
1.19,0.02,0.01,-0.01,2.5,-0.39,3.25,2.4,-0.06,1.31
0.39,0,0,0,0,0,-0.34,-0.2,-0.98,0.39
15.9,2.19,2.19,2.19,2.19,0.33,-0.49,-0.53,-0.04,14.14
5.1,-0.07,-0.07,0,0.07,0.16,-0.01,-0.01,0.72,5.1
2.02,0.22,0.33,7.08,0,7.08,7.08,7.08,7.08,0.25
4.96,0.28,0.01,0.28,0.28,0.02,0.05,0.1,0.07,3.06
0.89,-0.91,0,0,-0.91,0,-0.92,-0.14,-0.66,1.09
0.44,0,0,0,0.13,0,-0.74,0.19,-0.06,0.44
1.75,0,1.97,1.97,-0.06,-0.06,-0.04,4.47,-0.08,0.59
0.49,0,0.09,0.09,0,0.11,-0.8,-0.33,-0.73,0.49
1.56,3.46,3.46,3.46,-0.24,3.46,3.46,-0.32,0.08,0.35
0.43,-0.74,-0.72,-0.04,-0.2,-0.75,-0.2,-0.8,-0.79,1.67
1.24,-0.37,-0.13,-0.13,-0.02,-0.38,-0.43,-0.3,-0.42,1.24
2.99,-0.29,-0.29,0,0,0,0.31,-0.19,-0.22,2.99
24.21,-0.22,-0.03,-0.07,-0.22,-0.22,0,0,11.35,27.04
24.21,-0.22,-0.03,-0.07,-0.22,-0.22,0,0,11.35,27.04
499.99,0,0,0,0,0,0,-0.65,-0.65,499.99
3.4,0,1.64,0.03,1.64,0.05,1.45,1.54,0.5,3.35
5.22,0,3.39,3.39,0.11,0.03,2.5,3.79,6.25,4.83
5.57,0,2.3,2.3,0.45,0.65,2.3,0.53,0.64,4.52
125.39,0,0,-0.37,0.02,-0.39,-0.04,-0.08,-0.23,140.74
125.39,0,0,-0.37,0.02,-0.39,-0.04,-0.08,-0.23,140.74
3.58,0,0,-0.06,-0.05,-0.06,-0.31,-0.36,0.17,3.7
11.63,0,-0.04,-0.04,-0.06,-0.11,0.32,0.14,-0.03,11.77
11.63,0,-0.04,-0.04,-0.06,-0.11,0.32,0.14,-0.03,11.77
3.43,0,1.3,0,1.3,-0.05,-0.04,-0.01,-0.08,1.49
1.57,0,-0.08,0.22,-0.09,0.22,0.22,0.05,0.59,0.99
3.04,0,-0.01,0.7,-0.01,-0.06,-0.03,0.01,0.05,3.09
134.89,0.57,0,0.57,0.57,0.57,-0.03,-0.7,2.55,86.14
134.89,0.57,0,0.57,0.57,0.57,-0.03,-0.7,2.55,86.14
0.49,0,0,0,-0.74,0,-0.73,0.26,-0.65,1.81
0.35,0,0,0,-0.33,-0.33,-0.33,-0.22,-0.31,0.52
137.99,0,0,0,0,-0.4,0,0.35,0.45,146.14
1.34,0,2.72,2.72,2.72,2.72,-0.07,-0.08,-0.14,0.36
1.7,0,0.01,-0.45,-0.49,-0.5,-0.46,-0.52,0.06,0.22
1.7,0,0.01,-0.45,-0.49,-0.5,-0.46,-0.52,0.06,0.22
3.73,-0.42,-0.51,-0.47,-0.5,-0.44,1.01,1.3,1.06,6.61
1.37,2.91,2.91,2.91,2.91,2.91,3.28,-0.35,0.07,1.38
0.35,0,-0.75,0,-0.75,-0.74,-0.19,-0.29,-0.75,2.12
0.51,0,0,-0.69,-0.67,-0.68,-0.69,-0.69,-0.65,6.1
0.51,0,0,-0.69,-0.67,-0.68,-0.69,-0.69,-0.65,6.1
1.4,3.67,3.67,3.67,-0.01,3.67,2.89,0.03,0.07,0.3
7.91,0.04,1.94,1.43,3.52,3.52,3.52,3.47,3.79,0.25
7.91,0.04,1.94,1.43,3.52,3.52,3.52,3.47,3.79,0.25
0.36,0,0,0,0,0,-0.08,-0.16,-0.71,0.36
1.3,3.33,-0.02,0,3.33,0.05,3.33,2.61,-0.02,0.3
0.48,0,-0.66,0,0,0,-0.69,-0.67,-0.61,0.48
0.25,0,0,0,-0.81,-0.79,0,-0.79,-0.85,5.48
0.25,0,0,0,-0.81,-0.79,0,-0.79,-0.85,5.48
0.25,0,-0.81,-0.81,-0.81,0,-0.81,0,-0.84,7.15
0.25,0,-0.81,-0.81,-0.81,0,-0.81,0,-0.84,7.15
0.4,0,-0.72,0,0,0,-0.71,-0.75,-0.69,0.4
0.25,0,-0.82,0,0,0,-0.89,-0.88,-0.86,0.25
0.25,0,-0.82,0,0,0,-0.89,-0.88,-0.86,0.25
0.33,0,0,-0.87,-0.87,-0.78,-0.13,-0.13,-0.74,1.33
0.42,-0.76,0,-0.76,-0.77,0,-0.14,-0.76,-0.36,1.71
0.29,0,-0.76,0,0,0,0,-0.28,-0.77,0.29
0.49,-0.69,-0.69,-0.69,0.4,0.4,-0.94,-0.82,0.17,10.2
1.8,-0.06,0.23,0.37,-0.18,-0.19,0,0,0,0.74
1.8,-0.06,0.23,0.37,-0.18,-0.19,0,0,0,0.74
21.45,0,0,0,0.24,0.11,-0.3,-0.68,0,17.91
21.45,0,0,0,0.24,0.11,-0.3,-0.68,0,17.91
1.23,1.51,1.51,1.51,-0.4,1.51,1.8,-0.49,-0.28,1.29
2.08,3.95,3.95,3.95,0.98,3.24,4.94,0.18,0.22,0.89
2.08,3.95,3.95,3.95,0.98,3.24,4.94,0.18,0.22,0.89
2.08,3.95,3.95,3.95,0.98,3.24,4.94,0.18,0.22,0.89
0.42,-0.67,0,0,-0.82,-0.05,-0.09,-0.81,-0.65,1.25
0.49,-0.73,0,-0.73,0,0,-0.84,-0.8,-0.73,0.49
0.39,-0.82,-0.81,-0.81,-0.8,0,0,-0.81,-0.8,0.3
1.87,4.5,4.5,-0.01,4.5,0.02,4.05,3.79,-0.18,0.34
0.29,0,0,0,-0.77,-0.77,0,0,0,0.29
0.3,0,-0.82,0,0,-0.77,-0.84,-0.83,-0.83,0.3
1.63,3.66,3.66,-0.03,3.66,3.66,3.66,-0.16,0.12,0.35
0.89,0,0,0,0.82,0.51,0.29,0.19,-0.28,0.59
0.89,0,0,0,0.82,0.51,0.29,0.19,-0.28,0.59
0.89,0,0,0,0.82,0.51,0.29,0.19,-0.28,0.59
1.05,0,0,-0.02,0.42,-0.56,-0.32,-0.56,-0.72,2.78
0.89,0,0,0,0,-0.71,0.07,-0.67,-0.67,3
0.89,0,0,0,0,-0.71,0.07,-0.67,-0.67,3
0.89,0,0,0,0,-0.71,0.07,-0.67,-0.67,3
3.21,0.73,0.73,0.73,-0.08,0.62,0.43,0.37,0.13,1.98
5.86,0,-0.04,-0.04,0.1,-0.05,0,0,0,6.64
5.86,0,-0.04,-0.04,0.1,-0.05,0,0,0,6.64
0.34,-0.85,0,0,-0.84,-0.82,-0.83,-0.83,-0.81,0.34
0.29,-0.77,0,0,-0.78,-0.77,0,0,0,0.29
1.09,-0.34,0,0,-0.34,-0.36,-0.53,-0.6,-0.58,1.09
1.09,-0.34,0,0,-0.34,-0.36,-0.53,-0.6,-0.58,1.09
1.09,-0.34,0,0,-0.34,-0.36,-0.53,-0.6,-0.58,1.09
0.34,0,0,0,0,0,0,-0.73,-0.84,0.34
1.13,3,3,0,3,0,0,0,0,0.29
9.9,2.1,2.1,2.1,-0.04,1.61,1.61,-0.11,1.2,3.19
0.49,0,-0.62,-0.63,0.17,0.53,0.26,0.14,-0.63,0.49
0.29,-0.79,-0.8,0,0,0,0,-0.79,-0.75,0.29
0.25,-0.81,-0.8,0,0,0,-0.32,-0.32,-0.89,0.25
0.79,0,0,0,-0.39,-0.39,-0.7,-0.78,-0.69,0.69
0.25,0,0,0,0,0,-0.39,-0.81,-0.87,0.25
0.25,-0.81,-0.81,-0.88,0,-0.88,0,0,0,0.25
1.8,-0.04,-0.04,-0.04,0.01,-0.08,3.74,2.67,-0.06,0.32
0.25,0,0,-0.47,-0.71,-0.48,-0.91,-0.92,-0.8,0.25
0.32,-0.75,0,-0.76,-0.74,-0.72,0,-0.85,-0.73,0.32
0.35,0,0,-0.17,-0.72,0,-0.31,-0.93,-0.72,0.35
0.59,0,-0.9,-0.91,-0.84,-0.75,0,-0.82,-0.41,6.37
1.09,0,0,0,-0.61,-0.27,-0.47,-0.67,-0.65,2.25
1.62,4.4,-0.1,4.4,4.4,-0.18,4.4,-0.05,-0.24,0.3
1.49,0,0,0,0,0,0,-0.06,-0.77,1.49
3.12,7.91,5.37,5.37,0.08,0.09,0.05,0.15,5.37,0.35
35.96,0.01,-0.78,-0.02,-0.78,-0.78,-0.88,-0.88,-0.88,161.74
0.25,0,0,0,0,0,0,0,-0.95,0.25
0.99,0,0,0,-0.87,-0.88,0,-0.88,-0.85,0.39
3.68,0,0,0,0,0,0.09,-0.18,-0.18,3.39
0.35,0,-0.89,0,0,0,0,-0.49,-0.74,0.35
0.39,0,-0.86,-0.2,-0.2,-0.2,-0.34,-0.83,-0.79,0.39
0.47,0,0,0,-0.04,-0.85,-0.13,-0.89,-0.78,0.37
2.62,0,-0.27,0.01,-0.29,-0.06,-0.11,-0.29,-0.58,2.62
0.25,0,0,-0.78,-0.95,-0.83,-0.8,0,-0.8,0.25
0.39,0,0,0,-0.2,-0.34,0,-0.28,-0.78,0.39
0.69,-0.89,-0.89,-0.89,0,-0.89,-0.87,-0.91,-0.59,6.52
0.42,0,0,-0.83,0.2,0.2,-0.8,-0.84,-0.83,0.42
0.48,0,0,-0.75,-0.14,-0.14,-0.08,-0.76,-0.79,0.53
0.25,0,0,-0.79,0,0,-0.79,-0.77,0,0.25
0.49,0,-0.69,0,-0.69,-0.71,0.26,-0.67,-0.68,1.84
0.49,0,0,-0.91,0,-0.67,0,0,0,1.77
5.49,0,-0.02,-0.14,-0.26,-0.26,-0.51,-0.45,-0.67,7.86
0.35,0,0,-0.9,0,0,-0.91,-0.17,-0.79,1.94
1.13,3.48,3.48,3.48,-0.06,3.48,-0.04,-0.77,-0.12,0.25
1.11,-0.71,-0.03,-0.03,-0.2,-0.2,-0.78,-0.38,-0.7,3.92
1.24,2.54,2.54,2.18,2.18,0.02,0.08,2.54,0.04,1.23
0.54,-0.89,-0.87,-0.87,-0.87,0,0.54,0.23,-0.69,0.54
0.3,-0.89,-0.89,-0.89,-0.91,0,-0.29,-0.8,-0.92,0.3
0.58,-0.72,-0.72,-0.72,-0.72,-0.08,-0.08,-0.6,-0.58,0.54
0.25,-0.79,-0.8,-0.8,-0.8,0,0,-0.77,-0.8,0.25
0.99,-0.53,-0.52,-0.54,-0.8,0,0,-0.83,-0.45,0.99
9.99,0,0.25,0.37,0.25,0.12,0.36,0.25,0.12,10.11
0.59,0,0,-0.73,-0.83,0,-0.78,-0.82,-0.67,2.71
0.35,0,0,-0.84,0,-0.86,0,-0.88,-0.82,2.17
5.6,0.12,0.12,0.12,0.12,-0.08,-0.23,-0.42,0.25,5.58
0.59,-0.84,0,0,-0.84,-0.7,-0.66,-0.26,-0.91,3.85
0.35,-0.91,0,0,0,-0.86,-0.9,-0.63,-0.74,3.78
1.08,-0.64,0,0,0.29,-0.64,-0.63,0.83,-0.72,2.91
0.36,0,0,-0.77,-0.83,-0.14,-0.82,-0.28,-0.23,0.36
0.35,0,0,-0.79,0,0,-0.79,-0.78,-0.8,0.35
0.35,0,0,0,-0.73,-0.1,-0.1,-0.76,-0.83,0.35
0.35,-0.73,0,0,-0.73,-0.74,-0.85,-0.81,0.09,0.35
0.44,0,0,-0.67,-0.77,-0.21,-0.21,-0.2,-0.66,0.57
0.44,0,0,-0.67,-0.77,-0.21,-0.21,-0.2,-0.66,0.57
0.32,0,0,-0.84,-0.84,0,-0.75,-0.11,-0.75,0.36
0.4,-0.77,-0.78,0,0,0,-0.02,-0.82,-0.7,0.35
0.69,0,0,-0.65,0,0,-0.67,0.68,0.41,0.69
0.78,0,0,-0.63,-0.13,-0.13,0.03,-0.08,-0.22,0.75
0.25,0,-0.81,0,-0.81,0,0,-0.8,-0.85,1.42
0.25,0,-0.86,0,-0.94,0,0,0,0,0.25
0.35,0,-0.82,-0.13,-0.83,-0.13,-0.19,-0.29,-0.2,0.35
0.25,0,0,-0.95,-0.96,0,0,-0.96,-0.8,4.63
0.49,0,0,-0.71,-0.71,0,-0.63,-0.72,-0.7,0.49
1.09,-0.52,0,0,0,-0.47,-0.27,-0.16,-0.52,2
1.7,0,4.67,-0.02,4.67,-0.04,4.67,4.67,0.26,0.3
0.25,0,-0.82,-0.82,0,-0.82,-0.81,-0.8,-0.81,1.4
17.32,0,0,0,0,0,0,0.18,-0.26,17.32
5.24,4.89,4.89,4.89,5.63,-0.04,5.63,0.26,3.94,5.16
1.73,-0.01,-0.01,3.94,3.94,-0.03,3.94,0.16,0.33,1.86
1.78,0,-0.01,4.56,4.56,-0.15,4.56,0.23,0.34,1.93
1.62,0,2.68,2.68,2,0,2,1.89,0.23,0.54
10.49,0,-0.29,-0.28,0,0,0,-0.46,-0.73,14.43
3.79,0,-0.58,0,-0.66,0.52,0,0,0,14.22
3.79,0,-0.58,0,-0.66,0.52,0,0,0,14.22
6.79,0,0,0,0,0,-0.09,0,-0.32,16.79
0.3,0,0,0,0,-0.3,-0.27,-0.25,-0.25,0.43
36.19,-0.36,0,0,0,0,-0.48,-0.17,-0.53,36.19
36.19,-0.36,0,0,0,0,-0.48,-0.17,-0.53,36.19
0.3,-0.82,0,0,-0.85,-0.3,-0.82,-0.55,-0.55,0.43
0.47,-0.68,0.57,0.57,0,0,0,0,0.04,0.47
0.25,0,0,0,-0.83,0,0,-0.79,-0.8,0.25
0.46,0,-0.79,0,-0.08,-0.08,-0.04,-0.67,-0.63,0.5
0.25,0,0,-0.82,0,-0.81,-0.81,-0.81,-0.79,0.25
2.1,-0.65,-0.65,0,-0.76,-0.07,-0.82,-0.3,-0.24,2.88
0.49,0,-0.73,-0.72,0.17,-0.74,0.4,0.53,0.32,0.44
0.25,0,0,0,-0.8,-0.81,0,-0.79,-0.95,0.25
0.37,0,-0.73,-0.72,0,-0.73,0,-0.72,-0.71,0.37
5.6,0.02,0.02,0,0,0.02,0.03,0.4,0.4,5.52
0.25,0,-0.87,0,0,0,-0.81,-0.32,-0.32,1.37
4.05,0,0,0,-0.01,-0.06,-0.31,-0.79,0,4.27
1.14,0,0,0,0,-0.29,-0.35,-0.16,-0.64,0.99
2.63,1.55,1.55,-0.03,0.01,0.1,1.53,2.09,1.71,0.94
1.98,-0.01,0,-0.01,0.01,3.04,0.01,3.3,3.3,2.16
20.96,-0.13,-0.13,-0.09,0,-0.03,0.08,0.49,0.22,25.89
20.96,-0.13,-0.13,-0.09,0,-0.03,0.08,0.49,0.22,25.89
1.2,3.8,3.8,3.8,3.8,-0.08,0,0,0,0.25
9.49,-0.33,-0.33,0,0.53,-0.38,0.46,1.38,-0.24,9.49
0.25,0,0,-0.86,0,0,0,0,-0.81,0.25
0.54,0,0,-0.71,-0.72,0,0.06,0,-0.79,0.59
0.25,0,0,-0.81,-0.81,0,0,-0.32,-0.78,0.25
0.35,-0.72,0,0,-0.78,0,0,0,-0.79,0.35
1.79,2.03,2.03,-0.09,2.03,2.03,2.03,-0.18,-0.33,0.59
1.84,0,0,0,0,0,0.32,0.32,-0.34,1.89
3.7,1.26,1.26,0,1.1,1.11,0.96,0.18,0.73,1.54
55.38,1.17,1.17,-0.19,1.22,1.22,0.95,0.73,-0.62,29.19
55.38,1.17,1.17,-0.19,1.22,1.22,0.95,0.73,-0.62,29.19
731.25,0.33,-0.01,0.33,0.33,-0.09,0.46,0.37,0.33,512.99
731.25,0.33,-0.01,0.33,0.33,-0.09,0.46,0.37,0.33,512.99
0.35,0,0,0,0,-0.83,0.09,-0.79,-0.17,0.35
0.35,0,0,0,0,-0.85,0,-0.85,-0.59,0.35
0.25,-0.78,-0.79,0,0,0,0,-0.8,0,0.25
0.99,-0.79,-0.79,-0.79,-0.8,-0.79,0,-0.69,-0.75,0.99
0.99,-0.79,-0.79,-0.79,-0.8,-0.79,0,-0.69,-0.75,0.99
0.44,-0.75,-0.76,-0.76,-0.75,-0.76,0.05,-0.69,-0.73,1.61
9.03,0.1,0.1,0.1,0.04,0.01,-0.31,0.59,1.01,8.19
0.42,0,-0.78,0,0.2,-0.82,0.2,0.2,-0.14,1.94
0.36,0,0,-0.77,-0.78,0,0,-0.29,-0.76,1.69
0.25,0,-0.85,0,0,0,0,0,0,1.92
20.4,0,-0.22,-0.22,0.07,-0.22,-0.22,0.14,-0.28,26.16
20.4,0,-0.22,-0.22,0.07,-0.22,-0.22,0.14,-0.28,26.16
1.4,2.33,2.33,-0.69,-0.02,2.33,3,-0.05,0.08,1.42
0.25,-0.84,0,0,0,-0.82,-0.95,0,-0.87,1.57
0.42,-0.79,-0.79,0,0,-0.77,-0.29,-0.89,-0.75,1.67
2.87,0.81,0.81,0.81,-0.06,0.75,0.52,-0.24,-0.31,2.93
1.37,2.91,2.91,0,2.91,2.91,-0.05,2.91,0.32,0.35
1.41,-0.03,-0.03,-0.03,4.04,4.04,4.04,0,0,1.48
1.79,-0.02,-0.11,-0.16,-0.23,-0.22,-0.3,0.01,-0.06,1.91
0.99,0,0,0,0.11,0.11,-0.34,-0.69,0,0.99
0.99,0,0,0,0.11,0.11,-0.34,-0.69,0,0.99
0.39,-0.75,-0.75,0,-0.73,-0.74,0,0,0,0.39
0.39,-0.75,-0.75,0,-0.73,-0.74,0,0,0,0.39
0.57,0,0,-0.81,0.33,-0.82,-0.72,-0.62,-0.83,2.56
22.2,0.07,0.07,0.07,-0.1,0.46,0.07,-0.07,0.29,22.11
2.93,0,0,0,0.22,0.21,0.63,0.57,0,2.52
2.93,0,0,0,0.22,0.21,0.63,0.57,0,2.52
449.99,0,-0.05,-0.04,0,0,0,0,0,481.5
449.99,0,-0.05,-0.04,0,0,0,0,0,481.5
0.44,-0.61,0,0,0,0,-0.6,-0.75,-0.8,0.44
0.44,-0.61,0,0,0,0,-0.6,-0.75,-0.8,0.44
1.48,3.93,3.93,3.93,-0.06,-0.06,0.51,0.47,0.06,0.3
1.65,2.37,0.07,2.37,2.37,2.37,-0.13,0.74,-0.61,0.49
2.9,0,0.59,-0.42,-0.09,-0.42,0,0,0,0.89
2.9,0,0.59,-0.42,-0.09,-0.42,0,0,0,0.89
2.9,0,0.59,-0.42,-0.09,-0.42,0,0,0,0.89
2.9,0,0.59,-0.42,-0.09,-0.42,0,0,0,0.89
2.9,0,0.59,-0.42,-0.09,-0.42,0,0,0,0.89
2.9,0,0.59,-0.42,-0.09,-0.42,0,0,0,0.89
2.9,0,0.59,-0.42,-0.09,-0.42,0,0,0,0.89
2.47,0,0,3.49,3.49,3.49,2.29,0.91,-0.39,0.55
5.23,0,0,1.1,1.1,1.1,0,0.75,-0.18,2.49
1.02,-0.84,-0.84,-0.03,-0.03,-0.85,-0.27,-0.91,-0.66,6.55
0.31,0,-0.81,0,-0.14,-0.14,-0.84,-0.21,-0.76,1.67
5.09,0.66,0.66,-0.19,0.21,-0.2,-0.23,-0.35,-0.59,3.02
9.85,7.28,7.28,0,0,0.02,4.83,-0.04,0.23,1.29
0.36,-0.71,0,0,-0.71,0,0,0,-0.78,1.67
0.39,0,0,0,0.22,0.22,-0.71,0.03,-0.7,0.39
